iter	Passed	Remaining
404	8500	12488
405	8523	12470
406	8546	12452
407	8559	12419
408	8585	12405
409	8608	12387
410	8619	12352
411	8643	12335
412	8666	12317
413	8677	12283
414	8690	12250
415	8714	12234
416	8737	12216
417	8749	12182
418	8773	12165
419	8795	12146
420	8818	12128
421	8830	12094
422	8853	12076
423	8875	12057
424	8898	12039
425	8921	12021
426	8936	11991
427	8959	11973
428	8970	11939
429	8994	11922
430	9017	11904
431	9039	11885
432	9060	11864
433	9081	11844
434	9098	11817
435	9122	11800
436	9148	11786
437	9160	11754
438	9172	11722
439	9199	11708
440	9224	11692
441	9248	11675
442	9273	11659
443	9285	11627
444	9309	11610
445	9333	11594
446	9346	11562
447	9371	11546
448	9394	11528
449	9406	11496
450	9431	11481
451	9457	11465
452	9469	11434
453	9493	11417
454	9518	11401
455	9531	11370
456	9555	11353
457	9568	11323
458	9594	11308
459	9618	11291
460	9645	11277
461	9672	11263
462	9698	11248
463	9714	11221
464	9730	11195
465	9758	11182
466	9785	11168
467	9812	11154
468	9839	11140
469	9865	11125
470	9891	11109
471	9917	11093
472	9930	11063
473	9958	11051
474	9989	11040
475	10002	11010
476	10028	10995
477	10053	10979
478	10079	10963
479	10105	10947
480	10130	10930
481	10156	10914
482	10181	10898
483	10208	10883
484	10223	10856
485	10249	10839
486	10279	10827
487	10296	10803
488	10313	10777
489	10332	10753
490	10357	10737
491	10374	10712
492	10393	10689
493	10422	10675
494	10444	10655
495	10463	10632
496	10492	10619
497	10505	10589
498	10519	10561
499	10532	10532
500	10559	10517
501	10580	10496
502	10606	10480
503	10650	10481
504	10665	10454
505	10679	10426
506	10691	10396
507	10720	10382
508	10746	10366
509	10771	10349
510	10798	10333
511	10813	10306
512	10828	10279
513	10853	10262
514	10880	10246
515	10906	10230
516	10933	10214
517	10959	10198
518	10991	10186
519	11017	10170
520	11046	10156
521	11062	10130
522	11091	10115
523	11118	10099
524	11146	10084
525	11175	10070
526	11190	10044
527	11205	10016
528	11234	10002
529	11262	9987
530	11287	9969
531	11312	9951
532	11337	9933
533	11348	9903
534	11372	9884
535	11398	9867
536	11424	9850
537	11435	9820
538	11458	9800
539	11481	9780
540	11494	9752
541	11519	9734
542	11543	9714
543	11566	9695
544	11578	9666
545	11604	9648
546	11627	9629
547	11639	9600
548	11665	9582
549	11677	9554
550	11702	9536
551	11714	9507
552	11737	9487
553	11761	9468
554	11784	9449
555	11795	9419
556	11822	9402
557	11849	9385
558	11871	9365
559	11896	9347
560	11923	9330
561	11949	9313
562	11975	9295
563	11988	9267
564	12013	9249
565	12026	9221
566	12050	9202
567	12074	9183
568	12087	9155
569	12113	9138
570	12139	9120
571	12162	9100
572	12189	9083
573	12215	9066
574	12241	9047
575	12266	9029
576	12290	9010
577	12302	8982
578	12325	8962
579	12337	8934
580	12362	8915
581	12386	8896
582	12399	8868
583	12423	8849
584	12435	8821
585	12447	8794
586	12471	8774
587	12496	8756
588	12521	8737
589	12532	8709
590	12556	8690
591	12569	8662
592	12593	8643
593	12604	8615
594	12630	8597
595	12656	8579
596	12677	8557
597	12693	8532
598	12712	8510
599	12730	8487
600	12759	8470
601	12777	8447
602	12795	8424
603	12813	8400
604	12832	8378
605	12851	8355
606	12865	8329
607	12893	8313
608	12919	8294
609	12945	8276
610	12972	8258
611	13001	8243
612	13017	8218
613	13032	8193
614	13048	8168
615	13076	8151
616	13099	8131
617	13111	8104
618	13123	8077
619	13146	8057
620	13160	8031
621	13172	8005
622	13195	7985
623	13219	7965
624	13246	7947
625	13272	7929
626	13297	7910
627	13309	7884
628	13334	7864
629	13356	7844
630	13368	7817
631	13390	7796
632	13413	7776
633	13424	7749
634	13447	7729
635	13471	7709
636	13483	7683
637	13507	7664
638	13535	7646
639	13546	7619
640	13558	7593
641	13583	7574
642	13607	7555
643	13632	7535
644	13656	7516
645	13679	7496
646	13702	7476
647	13715	7450
648	13737	7429
649	13762	7410
650	13774	7384
651	13799	7365
652	13823	7345
653	13835	7319
654	13859	7300
655	13883	7280
656	13895	7254
657	13918	7234
658	13941	7214
659	13953	7188
660	13977	7168
661	14002	7149
662	14027	7130
663	14039	7104
664	14065	7085
665	14076	7059
666	14101	7040
667	14128	7021
668	14152	7002
669	14164	6976
670	14176	6951
671	14201	6931
672	14213	6905
673	14238	6886
674	14252	6862
675	14279	6844
676	14293	6819
677	14320	6801
678	14334	6776
