iter	Passed	Remaining
407	4862	7055
408	4873	7041
409	4885	7029
410	4897	7018
411	4908	7005
412	4920	6993
413	4932	6981
414	4944	6970
415	4955	6957
416	4966	6942
417	4976	6928
418	4986	6913
419	4998	6902
420	5009	6890
421	5021	6877
422	5034	6867
423	5045	6854
424	5057	6842
425	5068	6829
426	5083	6821
427	5094	6808
428	5104	6794
429	5115	6781
430	5125	6766
431	5135	6752
432	5146	6739
433	5158	6727
434	5168	6713
435	5178	6698
436	5188	6684
437	5199	6670
438	5208	6656
439	5219	6642
440	5230	6629
441	5240	6615
442	5252	6604
443	5264	6593
444	5275	6579
445	5285	6565
446	5298	6554
447	5308	6540
448	5318	6527
449	5329	6513
450	5339	6500
451	5350	6487
452	5362	6474
453	5376	6465
454	5388	6454
455	5400	6443
456	5410	6429
457	5422	6416
458	5432	6402
459	5443	6389
460	5455	6378
461	5470	6370
462	5482	6359
463	5493	6345
464	5503	6332
465	5517	6322
466	5529	6311
467	5541	6299
468	5553	6287
469	5564	6275
470	5575	6262
471	5586	6249
472	5598	6238
473	5608	6224
474	5619	6210
475	5629	6197
476	5639	6183
477	5651	6171
478	5663	6159
479	5674	6147
480	5684	6133
481	5693	6119
482	5705	6106
483	5714	6092
484	5725	6079
485	5735	6066
486	5747	6054
487	5757	6040
488	5768	6028
489	5780	6016
490	5793	6005
491	5806	5995
492	5820	5985
493	5831	5972
494	5841	5959
495	5851	5946
496	5862	5933
497	5872	5919
498	5882	5905
499	5894	5894
500	5905	5882
501	5916	5869
502	5926	5855
503	5938	5844
504	5955	5837
505	5972	5830
506	5987	5822
507	6002	5813
508	6017	5804
509	6038	5801
510	6055	5794
511	6070	5786
512	6088	5780
513	6105	5773
514	6118	5762
515	6130	5750
516	6142	5738
517	6154	5726
518	6166	5715
519	6180	5705
520	6193	5693
521	6204	5681
522	6215	5669
523	6227	5657
524	6237	5643
525	6249	5631
526	6263	5621
527	6272	5607
528	6282	5594
529	6293	5580
530	6303	5567
531	6314	5555
532	6328	5544
533	6338	5531
534	6349	5518
535	6359	5505
536	6369	5491
537	6379	5478
538	6390	5465
539	6402	5453
540	6413	5440
541	6423	5427
542	6433	5414
543	6443	5401
544	6454	5388
545	6466	5376
546	6477	5364
547	6487	5351
548	6497	5338
549	6509	5326
550	6521	5314
551	6532	5302
552	6548	5293
553	6561	5282
554	6572	5269
555	6584	5258
556	6599	5248
557	6614	5239
558	6627	5228
559	6640	5217
560	6653	5206
561	6667	5196
562	6681	5186
563	6694	5175
564	6709	5165
565	6720	5153
566	6731	5140
567	6743	5128
568	6754	5116
569	6766	5104
570	6777	5091
571	6787	5078
572	6797	5065
573	6807	5052
574	6819	5040
575	6829	5027
576	6841	5015
577	6852	5002
578	6861	4989
579	6872	4976
580	6883	4963
581	6893	4950
582	6904	4938
583	6914	4925
584	6928	4915
585	6943	4905
586	6956	4894
587	6970	4884
588	6984	4874
589	6997	4862
590	7009	4850
591	7021	4839
592	7032	4826
593	7045	4815
594	7057	4803
595	7068	4791
596	7079	4778
597	7088	4765
598	7099	4752
599	7110	4740
600	7123	4729
601	7136	4718
602	7149	4706
603	7162	4696
604	7174	4684
605	7186	4672
606	7198	4660
607	7210	4649
608	7222	4637
609	7233	4624
610	7242	4611
611	7252	4598
612	7263	4585
613	7274	4573
614	7284	4560
615	7294	4547
616	7304	4534
617	7314	4521
618	7324	4508
619	7334	4495
620	7346	4483
621	7357	4471
622	7368	4458
623	7379	4446
624	7389	4433
625	7402	4422
626	7416	4411
627	7428	4400
628	7439	4387
629	7451	4376
630	7464	4365
631	7474	4352
632	7485	4339
633	7496	4327
634	7507	4315
635	7519	4303
636	7529	4290
637	7540	4278
638	7551	4265
639	7561	4253
640	7572	4241
641	7583	4228
642	7594	4216
643	7607	4205
644	7618	4193
645	7629	4181
646	7640	4168
647	7651	4156
648	7661	4143
649	7674	4132
650	7684	4119
651	7695	4107
652	7707	4095
653	7717	4082
654	7727	4070
655	7738	4058
656	7749	4045
657	7759	4033
658	7769	4020
659	7781	4008
660	7791	3995
661	7802	3983
662	7812	3971
663	7823	3958
664	7833	3946
665	7843	3933
666	7854	3921
667	7864	3908
668	7875	3896
669	7886	3884
670	7896	3871
671	7906	3859
672	7917	3847
673	7928	3834
674	7938	3822
675	7948	3809
676	7958	3797
677	7968	3784
678	7978	3772
679	7989	3759
680	8000	3747
681	8012	3736
682	8025	3724
683	8036	3712
684	8047	3700
685	8058	3688
686	8069	3676
687	8079	3664
688	8089	3651
689	8099	3638
690	8109	3626
691	8119	3613
692	8129	3601
693	8140	3589
694	8152	3577
695	8164	3565
696	8176	3554
697	8186	3542
698	8199	3530
699	8219	3522
700	8233	3511
701	8247	3500
702	8263	3491
703	8277	3480
704	8293	3470
705	8310	3460
706	8325	3450
707	8341	3440
708	8359	3430
709	8373	3420
710	8385	3408
711	8398	3397
712	8412	3386
713	8426	3375
714	8443	3365
715	8455	3353
716	8469	3342
717	8481	3331
718	8493	3319
719	8505	3307
720	8517	3296
721	8527	3283
722	8538	3271
723	8548	3258
724	8559	3246
725	8572	3235
726	8584	3223
727	8597	3212
728	8607	3199
729	8617	3187
730	8628	3175
731	8640	3163
732	8652	3151
733	8666	3140
734	8675	3128
735	8687	3116
736	8699	3104
737	8709	3092
738	8720	3079
739	8732	3068
740	8745	3056
741	8757	3045
742	8769	3033
743	8782	3021
744	8793	3009
745	8806	2998
746	8820	2987
747	8834	2976
748	8859	2969
749	8877	2959
750	8893	2948
751	8908	2937
752	8923	2927
753	8936	2915
754	8949	2904
755	8962	2892
756	8974	2880
757	8985	2868
758	8995	2856
759	9005	2843
760	9016	2831
761	9027	2819
762	9038	2807
763	9048	2795
764	9059	2782
765	9069	2770
766	9080	2758
767	9090	2746
768	9101	2733
769	9112	2721
770	9123	2709
771	9133	2697
772	9143	2685
773	9156	2673
774	9173	2663
775	9186	2651
776	9197	2639
777	9208	2627
778	9219	2615
779	9229	2603
780	9240	2591
781	9251	2579
782	9263	2567
783	9275	2555
784	9287	2543
785	9299	2532
786	9311	2520
787	9323	2508
788	9334	2496
789	9345	2484
790	9356	2472
791	9366	2460
792	9377	2447
793	9388	2435
794	9400	2423
795	9411	2411
796	9423	2400
797	9434	2388
798	9445	2376
799	9456	2364
800	9467	2352
801	9478	2340
802	9488	2327
803	9498	2315
804	9509	2303
805	9519	2291
806	9530	2279
807	9541	2267
808	9552	2255
809	9564	2243
810	9574	2231
811	9585	2219
812	9595	2207
813	9606	2195
814	9617	2183
815	9627	2170
816	9638	2158
817	9649	2146
818	9659	2134
819	9669	2122
820	9680	2110
821	9691	2098
822	9701	2086
823	9712	2074
824	9722	2062
825	9732	2050
826	9742	2038
827	9755	2026
828	9765	2014
829	9776	2002
830	9785	1990
831	9795	1977
832	9806	1965
833	9830	1956
834	9840	1944
835	9851	1932
836	9861	1920
837	9871	1908
838	9881	1896
839	9892	1884
840	9905	1872
841	9917	1861
842	9929	1849
843	9942	1837
844	9958	1826
845	9972	1815
846	9988	1804
847	10002	1792
848	10017	1781
849	10029	1769
850	10042	1758
851	10055	1746
852	10069	1735
853	10080	1723
854	10090	1711
855	10100	1699
856	10110	1687
857	10121	1675
858	10133	1663
859	10146	1651
860	10156	1639
861	10167	1627
862	10177	1615
863	10188	1603
864	10200	1592
865	10213	1580
866	10226	1568
867	10237	1556
868	10249	1545
869	10260	1533
870	10272	1521
871	10283	1509
872	10294	1497
873	10305	1485
874	10315	1473
875	10327	1461
876	10337	1449
877	10349	1438
878	10359	1426
879	10369	1414
880	10379	1401
881	10389	1389
882	10401	1378
883	10412	1366
884	10423	1354
885	10434	1342
886	10444	1330
887	10455	1318
888	10467	1306
889	10488	1296
890	10505	1285
891	10524	1274
892	10543	1263
893	10559	1251
894	10576	1240
895	10592	1229
896	10607	1218
897	10623	1206
898	10641	1195
899	10654	1183
900	10666	1172
901	10678	1160
902	10690	1148
903	10701	1136
904	10714	1124
905	10727	1112
906	10739	1101
907	10751	1089
908	10765	1077
909	10779	1066
910	10791	1054
911	10803	1042
912	10815	1030
913	10825	1018
914	10836	1006
915	10847	994
916	10859	982
917	10871	971
918	10883	959
919	10896	947
920	10908	935
921	10920	923
922	10931	911
923	10943	900
924	10955	888
925	10967	876
926	10976	864
927	10987	852
928	10997	840
929	11009	828
930	11019	816
931	11030	804
932	11040	792
933	11051	780
934	11062	769
935	11077	757
936	11090	745
937	11101	733
938	11111	721
939	11121	709
940	11132	698
941	11143	686
942	11153	674
943	11164	662
944	11175	650
945	11188	638
946	11201	626
947	11212	615
948	11226	603
949	11238	591
950	11249	579
951	11259	567
952	11271	555
953	11282	544
954	11293	532
955	11304	520
956	11315	508
957	11327	496
958	11337	484
959	11347	472
960	11356	460
961	11367	449
962	11380	437
963	11391	425
964	11402	413
965	11414	401
966	11427	389
967	11437	378
968	11449	366
969	11459	354
970	11470	342
971	11480	330
972	11490	318
973	11500	306
974	11511	295
975	11524	283
976	11536	271
977	11547	259
978	11558	247
979	11570	236
980	11583	224
981	11595	212
982	11607	200
983	11618	188
984	11629	177
985	11638	165
986	11649	153
987	11659	141
988	11671	129
989	11681	117
990	11691	106
991	11701	94
992	11711	82
993	11720	70
994	11731	58
995	11741	47
996	11752	35
997	11762	23
998	11773	11
999	11782	0
