iter	Logloss
0	0.6817789424
1	0.6706926227
2	0.6602680719
3	0.6510112934
4	0.6433532462
5	0.6367602988
6	0.6299204954
7	0.6234460316
8	0.6179500676
9	0.6128247193
10	0.6086957995
11	0.6044710708
12	0.6009300926
13	0.5978367924
14	0.5949794659
15	0.5922677054
16	0.5894434803
17	0.5871770958
18	0.5847786007
19	0.5826243304
20	0.5805373198
21	0.5786769059
22	0.5771139288
23	0.5753250826
24	0.573897322
25	0.5724000885
26	0.5710300517
27	0.5700701253
28	0.5688518783
29	0.5678111592
30	0.5666748734
31	0.5657611399
32	0.5648123955
33	0.5640571394
34	0.5633710485
35	0.5626645039
36	0.5618324509
37	0.5610760669
38	0.5604882481
39	0.5598858488
40	0.5592296526
41	0.5587010771
42	0.5582637309
43	0.5577410401
44	0.5572207124
45	0.5567720595
46	0.5562878017
47	0.5557989242
48	0.5553269503
49	0.5548401096
50	0.5542444413
51	0.5538464883
52	0.5534894439
53	0.5530883264
54	0.5527724044
55	0.5523430959
56	0.5518879199
57	0.5514938991
58	0.5512046225
59	0.5508738951
60	0.5505172306
61	0.5501122519
62	0.5497321173
63	0.5493052852
64	0.5490586569
65	0.5488034765
66	0.5484359809
67	0.5481546519
68	0.5478387189
69	0.5474398222
70	0.5472427197
71	0.546983727
72	0.5466696321
73	0.5462851264
74	0.5460383834
75	0.5458056373
76	0.5454232701
77	0.545065881
78	0.5446083257
79	0.5443366489
80	0.5441025258
81	0.5438543141
82	0.5436202801
83	0.54332345
84	0.5429645975
85	0.5427195918
86	0.5424495745
87	0.5422416039
88	0.5419213978
89	0.5416783206
90	0.5413820858
91	0.5409929081
92	0.5408312268
93	0.5405878669
94	0.5403910742
95	0.5400613627
96	0.5398744807
97	0.5396051453
98	0.5393549794
99	0.5391015821
100	0.5387198436
101	0.5384993568
102	0.5381942288
103	0.5378769623
104	0.5376121017
105	0.5373400373
106	0.5371360957
107	0.5368825914
108	0.5366510625
109	0.5364078887
110	0.5361851142
111	0.5359469314
112	0.5357686441
113	0.5355733052
114	0.5354234667
115	0.5352168237
116	0.5349322565
117	0.5347373174
118	0.5345009692
119	0.534327924
120	0.5341091602
121	0.5338210077
122	0.5336681971
123	0.5335139415
124	0.5332240358
125	0.5330908638
126	0.5329455917
127	0.5327751209
128	0.5325662353
129	0.5324004236
130	0.532127393
131	0.5319709545
132	0.5317560661
133	0.5315491352
134	0.5313314274
135	0.5311069651
136	0.5308607376
137	0.5306119276
138	0.5304012654
139	0.5301440085
140	0.529952296
141	0.5297825303
142	0.5295110029
143	0.5292844138
144	0.5291181564
145	0.5290085041
146	0.5286870865
147	0.5285762156
148	0.5284393493
149	0.5282868593
150	0.5280407688
151	0.5278487451
